% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=1064343, Wed Oct  8 16:56:08 2025, <python>{}</python>
1 7 21.51999579385133 0 0 26.12455607294171 19.778517099377147 19.434012984364205
2 14 21.32389974502106 0 0 24.80883354006957 22.456672738778344 16.37829976146838
3 21 18.300455700664752 0 0 19.639227322514007 18.460224197685033 13.018487351320324
4 28 23.45251150507854 0 0 22.18505299770849 33.392445329565575 15.970456153879859
5 35 20.991523600097477 0 0 20.866607079552846 31.170395512704403 12.735406564528267
6 42 26.916547360694935 0 0 25.66060162411957 57.46060150873874 13.989167495326313
7 49 40.23916882522167 0 0 37.49463958856518 91.91369239145968 20.182282317290998
8 56 57.67085053431832 0 0 53.858491235316464 131.135594517527 29.401787290242908
9 63 94.14433217788563 0 0 81.70560654085993 215.82248216009765 49.12560738414885
10 70 127.73615775275397 0 0 103.0182959956592 305.23558483863303 66.07198132832318
11 77 175.04278881543433 0 0 135.64935164623714 435.2295745306976 85.43408489124103
12 84 189.38484649206592 0 0 152.93231845004502 390.1212042455996 91.45376524891498
13 91 177.38888625787294 0 0 126.44975509734726 383.46721327546453 77.49755807113426
14 98 214.0309664632118 0 0 183.03042984315763 376.3267430454142 90.16405700289991
15 105 226.074850083735 0 0 193.02714274558028 407.6663042808776 90.84809902832201
16 112 247.3605536694143 0 0 199.5175907542772 466.2004169745178 95.26406851615826
17 119 229.63134263671228 0 0 158.05176668603255 438.4024355111234 87.79626126873428
18 126 216.48460325798413 0 0 141.5411719415648 421.26767150439184 80.73689502565655
19 133 205.59632564540345 0 0 108.04364907592186 417.68291271135155 74.48367634638446
20 140 160.06738945604715 0 0 78.10888602066763 310.8786617225372 51.78922568278883
21 147 141.89967566860608 0 0 66.41775553568442 279.41970850280853 43.46455839741012
22 154 125.44535966288562 0 0 48.89456789561873 222.83775913259797 38.94789197176705
23 161 113.27728744615649 0 0 38.283170574180204 189.27560157312212 33.54647604896444
24 168 118.39415440344735 0 0 37.18097874436828 189.53867992760647 40.98275903541369
25 175 143.42792482605415 0 0 42.77702828511779 280.04663621898476 49.846849021342564
26 182 134.879637800639 0 0 34.660004076476774 260.4710822406597 45.85905386924307
27 189 126.07199175971508 0 0 30.82695291021846 248.34378366759043 42.4026974141895
28 196 105.79850143709714 0 0 22.954105337228007 202.04484500300612 33.9491688867882
29 203 88.7423275156511 0 0 15.965092787111095 170.67689241095243 27.95159198847543
30 210 96.98983718759006 0 0 17.337247156903583 173.53469265312168 27.17415395310881
31 217 87.59410809568809 0 0 16.24600985195031 147.66320700197537 24.702752086523876
32 224 84.07143396865213 0 0 16.816204451206932 137.55062661150103 22.153543059217352
33 231 89.85410104481613 0 0 17.29654325966686 150.6789192267037 23.70938245587396
34 238 73.58674669838594 0 0 13.509494095814143 116.74532251614488 17.619413946400748
35 245 78.32332012611764 0 0 12.47250673421993 125.28244146892771 17.01816829602855
36 252 65.63480403838678 0 0 9.173337340009494 92.57807800463802 13.970909974180586
37 259 81.90320641967158 0 0 10.754252695549068 108.66877766965992 16.246881821708048
38 266 112.8869495422904 0 0 13.992840918448623 157.6475567105058 22.332903613289346
39 273 140.2427753790044 0 0 14.51880468450732 222.16107791426828 26.796896867303236
40 280 179.8764943120974 0 0 18.834731656406632 344.33023398550375 33.00990215693783
41 287 208.45163467228528 0 0 21.504674857432544 362.8530446711151 37.91526290242206
42 294 213.6946591536736 0 0 18.585408707864172 364.23355117776197 38.05699866955374
43 301 196.9915354734469 0 0 17.305023095076496 315.32538346247753 29.94830940999289
44 308 208.7741869200806 0 0 16.240047093308238 383.0822012075794 31.324310407933947
45 315 270.0022224882409 0 0 23.698316330878047 560.9674633471043 46.98444036373428
46 322 308.1530817122017 0 0 25.586933175997434 731.12983268539 52.874470111066124
47 329 326.48546273109963 0 0 24.450220746342183 831.8991384980742 58.069960435383614
48 336 416.73344863862036 0 0 30.865816628970887 1149.2848477293169 92.1190498475513
49 343 539.2757097353079 0 0 37.55091433377859 1635.8769974247534 142.7171041841284
50 350 559.0631684355885 0 0 32.002774353219614 1743.8390114214471 155.57642920343383
51 357 872.5470714955466 0 0 44.78136176434482 2827.5048484169342 266.0532575212806
52 364 980.9830501299272 0 0 42.01278773587858 3014.0750564344025 282.60670222726577
53 371 1038.0727754232753 0 0 36.45327727452761 3446.58016914715 317.45196952396094
54 378 1147.872860149331 0 0 35.263319320523955 4003.8243053527117 395.1821341644221
55 385 1337.8635538069902 0 0 40.168429242588594 5018.929360452529 480.19728327803773
56 392 1470.2649427407894 0 0 40.73954234933897 5517.863507226009 524.8760112636959
57 399 1735.650364714114 0 0 43.93739924285878 6206.689107172281 587.5422721279317
58 406 2005.687601354648 0 0 45.90597756579831 7123.099069674883 665.2956741352908
59 413 2429.0303923799975 0 0 54.2965522267476 8500.140961289912 822.5475921799826
60 420 2310.7788442966767 0 0 45.11755328044466 7653.313199567637 750.3417507494341
61 427 2580.5911041460736 0 0 47.905221361040304 8298.459015952481 901.4828124866357
62 434 2597.332504012795 0 0 40.76023876475464 8350.341791694504 944.2868236893723
63 441 2834.9545461702783 0 0 40.81031191798605 10991.857580568943 990.6298182993523
64 448 2817.3304791474297 0 0 34.979655027395154 10638.49980695433 968.4344183306231
65 455 3559.5614394990894 0 0 43.525996436087524 16576.8541372762 1278.9760254795847
66 462 3549.57388208107 0 0 35.91076421226386 16923.573975057643 1344.2661180116993
67 469 4101.8168506253905 0 0 41.33001769933658 22834.35832666363 1548.4891775530764
